"","","Game","Watch time (mins)","Stream time (mins)","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"1","","VALORANT","66419235720","2452552260","1197406","13550","1777879","126382","4666","27.08",""
"2","","Fortnite","35118040200","2436604200","1024567","60854","3753888","66822","4636","14.41",""
"3","","Apex Legends","37915770000","2285021400","559133","13296","1867655","72146","4347","16.59",""
"4","","Just Chatting","175815868560","1989467400","2309980","10463","2923210","334543","3785","88.37",""
"5","","League of Legends","89968695780","1593003900","3145012","8924","1062221","171192","3031","56.48",""
"6","","Call of Duty: Warzone","23924863740","1360896960","618010","12842","1022305","45524","2589","17.58",""
"7","","Grand Theft Auto V","80177560440","1340994300","727079","6992","1495070","152562","2551","59.79",""
"8","","Minecraft","31280169420","1125783540","2189881","6347","2225275","59520","2142","27.79",""
"9","","Call Of Duty: Modern Warfare","2161336680","902855280","51255","4147","1235528","4112","1717","2.39",""
"10","","Dead by Daylight","14407918800","863821560","155860","4960","614081","27415","1643","16.68",""
"11","","Elden Ring","16907065980","733342380","908307","22969","766068","32170","1395","23.05",""
"12","","World of Warcraft","20632581660","573473580","800359","12297","233923","39259","1091","35.98",""
"13","","Counter-Strike: Global Offensive","40433526960","560006700","1687805","2748","723263","76937","1065","72.2",""
"14","","Music","13124188320","532974540","228912","2644","379009","24972","1014","24.62",""
"15","","Genshin Impact","7636674660","513020880","614342","6499","491494","14531","976","14.89",""
"16","","Call of Duty: Modern Warfare II","5477706900","462128100","759147","22803","788509","10423","879","11.85",""
"17","","Escape from Tarkov","16036988460","457544940","690725","5313","190072","30515","870","35.05",""
"18","","Dota 2","30424715640","424273200","1037857","2353","227748","57892","807","71.71",""
"19","","Rocket League","7367543760","422235360","348465","1927","853749","14018","803","17.45",""
"20","","Overwatch 2","11852834100","403459320","633993","12678","766983","22553","767","29.38",""
"21","","Destiny 2","5259697980","400526520","451907","19199","340741","10008","762","13.13",""
"22","","Lost Ark","19896344220","396716160","1273854","12784","277626","37858","754","50.15",""
"23","","PUBG: BATTLEGROUNDS","7119559920","371331720","169794","1901","379920","13547","706","19.17",""
"24","","FIFA 22","12746083320","353938620","785790","5823","749242","24253","673","36.01",""
"25","","Art","5844134880","349758180","63932","2021","327122","11120","665","16.71",""
"26","","Tom Clancy's Rainbow Six Siege","6096127320","338738280","267799","2013","625969","11599","644","18",""
"27","","Final Fantasy XIV Online","4270616700","290598180","94670","3455","123878","8126","552","14.7",""
"28","","Roblox","1783725960","271358340","135740","1263","1148159","3394","516","6.57",""
"29","","Fall Guys","7551358980","260058900","417781","6833","1008070","14368","494","29.04",""
"30","","Overwatch","5212482720","252740700","1459249","2725","324380","9918","480","20.62",""
"31","","Games + Demos","1728693840","249403380","101700","7386","968118","3289","474","6.93",""
"32","","Call of Duty: Vanguard","1608232440","230200500","64799","1820","361662","3060","438","6.99",""
"33","","NBA 2K22","1798034400","209269140","260517","1412","325817","3421","398","8.59",""
"34","","Rust","15944992260","193471140","917741","1352","205622","30340","368","82.42",""
"35","","Phasmophobia","2373370380","181687200","97940","2606","411969","4516","345","13.06",""
"36","","Teamfight Tactics","13150485480","173699220","140778","1461","216159","25022","330","75.71",""
"37","","Sea of Thieves","3209645520","173237220","131802","1278","264856","6107","329","18.53",""
"38","","Call of Duty: Black Ops Cold War","673899360","163924320","132493","776","332330","1282","311","4.11",""
"39","","Red Dead Redemption 2","2881517100","163778100","101851","732","268276","5482","311","17.59",""
"40","","Ark: Survival Evolved","3064218420","161196360","174919","1035","238029","5830","306","19.01",""
"41","","DayZ","3962612640","134579040","109745","614","141088","7540","256","29.44",""
"42","","FIFA 23","7639057500","127483680","487770","5980","261517","14535","242","59.92",""
"43","","NBA 2K23","1543865040","116927700","352152","7180","160006","2937","222","13.2",""
"44","","Monster Hunter Rise","2066181180","116185080","112194","2788","91856","3931","221","17.78",""
"45","","Hunt: Showdown","1879367520","115673820","74621","829","78235","3576","220","16.25",""
"46","","Talk Shows & Podcasts","3800730060","114236040","142296","653","124594","7232","217","33.27",""
"47","","Retro","3006854640","105960360","39288","668","48897","5721","201","28.38",""
"48","","Halo Infinite","1828715820","105953820","129916","2061","225658","3479","201","17.26",""
"49","","God of War Ragnarök","2487788520","105073260","480655","11583","143556","4733","199","23.68",""
"50","","Pokémon Legends: Arceus","2818349340","101034180","478946","7471","110524","5362","192","27.9",""